date,year,month,day_of_week,is_weekend,foreign_visitors_daily,local_visitors_daily,total_visitors_daily,peak_season_flag,holiday_flag
2024-01-01,2024,1,Monday,0,715,763,1478,1,0
2024-01-02,2024,1,Tuesday,0,908,1050,1958,1,0
2024-01-03,2024,1,Wednesday,0,847,1188,2035,1,0
2024-01-04,2024,1,Thursday,0,837,1152,1989,1,0
2024-01-05,2024,1,Friday,0,814,1306,2120,1,0
2024-01-06,2024,1,Saturday,1,1361,2354,3715,1,0
2024-01-07,2024,1,Sunday,1,898,2051,2949,1,0
2024-01-08,2024,1,Monday,0,685,1017,1702,1,0
2024-01-09,2024,1,Tuesday,0,762,1494,2256,1,0
2024-01-10,2024,1,Wednesday,0,1054,801,1855,1,0
2024-01-11,2024,1,Thursday,0,747,1118,1865,1,0
2024-01-12,2024,1,Friday,0,1071,2219,3290,1,0
2024-01-13,2024,1,Saturday,1,1859,3827,5686,1,0
2024-01-14,2024,1,Sunday,1,1302,2599,3901,1,0
2024-01-15,2024,1,Monday,0,1109,1267,2376,1,1
2024-01-16,2024,1,Tuesday,0,1275,1143,2418,1,0
2024-01-17,2024,1,Wednesday,0,704,1481,2185,1,0
2024-01-18,2024,1,Thursday,0,758,1470,2228,1,0
2024-01-19,2024,1,Friday,0,835,1654,2489,1,0
2024-01-20,2024,1,Saturday,1,1066,2445,3511,1,0
2024-01-21,2024,1,Sunday,1,1532,2306,3838,1,0
2024-01-22,2024,1,Monday,0,722,1533,2255,1,0
2024-01-23,2024,1,Tuesday,0,706,858,1564,1,0
2024-01-24,2024,1,Wednesday,0,722,1243,1965,1,0
2024-01-25,2024,1,Thursday,0,954,1159,2113,1,1
2024-01-26,2024,1,Friday,0,1033,2158,3191,1,0
2024-01-27,2024,1,Saturday,1,1025,2232,3257,1,0
2024-01-28,2024,1,Sunday,1,1257,2486,3743,1,0
2024-01-29,2024,1,Monday,0,1003,961,1964,1,0
2024-01-30,2024,1,Tuesday,0,584,1091,1675,1,0
2024-01-31,2024,1,Wednesday,0,745,1121,1866,1,0
2024-02-01,2024,2,Thursday,0,737,1102,1839,1,0
2024-02-02,2024,2,Friday,0,1089,1732,2821,1,0
2024-02-03,2024,2,Saturday,1,1568,2634,4202,1,0
2024-02-04,2024,2,Sunday,1,1248,2082,3330,1,1
2024-02-05,2024,2,Monday,0,677,1415,2092,1,0
2024-02-06,2024,2,Tuesday,0,1002,1110,2112,1,0
2024-02-07,2024,2,Wednesday,0,709,859,1568,1,0
2024-02-08,2024,2,Thursday,0,887,1113,2000,1,0
2024-02-09,2024,2,Friday,0,1049,1776,2825,1,0
2024-02-10,2024,2,Saturday,1,1335,2078,3413,1,0
2024-02-11,2024,2,Sunday,1,1695,2540,4235,1,0
2024-02-12,2024,2,Monday,0,967,1339,2306,1,0
2024-02-13,2024,2,Tuesday,0,772,1223,1995,1,0
2024-02-14,2024,2,Wednesday,0,975,1015,1990,1,0
2024-02-15,2024,2,Thursday,0,1125,1165,2290,1,0
2024-02-16,2024,2,Friday,0,1048,1394,2442,1,0
2024-02-17,2024,2,Saturday,1,1174,2796,3970,1,0
2024-02-18,2024,2,Sunday,1,1672,3169,4841,1,0
2024-02-19,2024,2,Monday,0,1012,811,1823,1,0
2024-02-20,2024,2,Tuesday,0,621,722,1343,1,0
2024-02-21,2024,2,Wednesday,0,729,1178,1907,1,0
2024-02-22,2024,2,Thursday,0,904,1032,1936,1,0
2024-02-23,2024,2,Friday,0,1086,2378,3464,1,1
2024-02-24,2024,2,Saturday,1,1382,4656,6038,1,0
2024-02-25,2024,2,Sunday,1,1225,1690,2915,1,0
2024-02-26,2024,2,Monday,0,816,1051,1867,1,0
2024-02-27,2024,2,Tuesday,0,825,898,1723,1,0
2024-02-28,2024,2,Wednesday,0,728,1311,2039,1,0
2024-02-29,2024,2,Thursday,0,805,1090,1895,1,0
2024-03-01,2024,3,Friday,0,1080,2136,3216,1,0
2024-03-02,2024,3,Saturday,1,1067,2842,3909,1,0
2024-03-03,2024,3,Sunday,1,1297,2640,3937,1,0
2024-03-04,2024,3,Monday,0,638,955,1593,1,0
2024-03-05,2024,3,Tuesday,0,739,839,1578,1,0
2024-03-06,2024,3,Wednesday,0,860,1528,2388,1,0
