date,year,month,day_of_week,is_weekend,foreign_visitors_daily,local_visitors_daily,total_visitors_daily,peak_season_flag,holiday_flag
2025-01-01,2025,1,Wednesday,0,779,996,1775,1,0
2025-01-02,2025,1,Thursday,0,634,1304,1938,1,0
2025-01-03,2025,1,Friday,0,1133,1827,2960,1,0
2025-01-04,2025,1,Saturday,1,1440,1621,3061,1,0
2025-01-05,2025,1,Sunday,1,1206,2032,3238,1,0
2025-01-06,2025,1,Monday,0,829,1156,1985,1,0
2025-01-07,2025,1,Tuesday,0,712,717,1429,1,0
2025-01-08,2025,1,Wednesday,0,670,969,1639,1,0
2025-01-09,2025,1,Thursday,0,628,879,1507,1,0
2025-01-10,2025,1,Friday,0,814,1474,2288,1,0
2025-01-11,2025,1,Saturday,1,974,2224,3198,1,0
2025-01-12,2025,1,Sunday,1,1874,3603,5477,1,0
2025-01-13,2025,1,Monday,0,922,2213,3135,1,1
2025-01-14,2025,1,Tuesday,0,961,1586,2547,1,1
2025-01-15,2025,1,Wednesday,0,779,1113,1892,1,0
2025-01-16,2025,1,Thursday,0,1322,1339,2661,1,0
2025-01-17,2025,1,Friday,0,701,1569,2270,1,0
2025-01-18,2025,1,Saturday,1,1224,2965,4189,1,0
2025-01-19,2025,1,Sunday,1,1338,3608,4946,1,0
2025-01-20,2025,1,Monday,0,813,1036,1849,1,0
2025-01-21,2025,1,Tuesday,0,841,926,1767,1,0
2025-01-22,2025,1,Wednesday,0,1036,1075,2111,1,0
2025-01-23,2025,1,Thursday,0,983,1318,2301,1,0
2025-01-24,2025,1,Friday,0,848,1477,2325,1,0
2025-01-25,2025,1,Saturday,1,1308,3190,4498,1,0
2025-01-26,2025,1,Sunday,1,936,1097,2033,1,0
2025-01-27,2025,1,Monday,0,736,940,1676,1,0
2025-01-28,2025,1,Tuesday,0,1054,841,1895,1,0
2025-01-29,2025,1,Wednesday,0,884,1405,2289,1,0
2025-01-30,2025,1,Thursday,0,899,1779,2678,1,0
2025-01-31,2025,1,Friday,0,1161,2731,3892,1,0
2025-02-01,2025,2,Saturday,1,1204,2609,3813,1,0
2025-02-02,2025,2,Sunday,1,902,2199,3101,1,0
2025-02-03,2025,2,Monday,0,716,1046,1762,1,0
2025-02-04,2025,2,Tuesday,0,757,1441,2198,1,1
2025-02-05,2025,2,Wednesday,0,855,908,1763,1,0
2025-02-06,2025,2,Thursday,0,1053,1160,2213,1,0
2025-02-07,2025,2,Friday,0,1058,2075,3133,1,0
2025-02-08,2025,2,Saturday,1,1308,2190,3498,1,0
2025-02-09,2025,2,Sunday,1,1423,4059,5482,1,0
2025-02-10,2025,2,Monday,0,720,886,1606,1,0
2025-02-11,2025,2,Tuesday,0,865,954,1819,1,0
2025-02-12,2025,2,Wednesday,0,951,2289,3240,1,1
2025-02-13,2025,2,Thursday,0,988,1090,2078,1,0
2025-02-14,2025,2,Friday,0,1094,2503,3597,1,0
2025-02-15,2025,2,Saturday,1,1393,2779,4172,1,0
2025-02-16,2025,2,Sunday,1,1274,3676,4950,1,0
2025-02-17,2025,2,Monday,0,1094,707,1801,1,0
2025-02-18,2025,2,Tuesday,0,945,1209,2154,1,0
2025-02-19,2025,2,Wednesday,0,708,1396,2104,1,0
2025-02-20,2025,2,Thursday,0,835,2295,3130,1,0
2025-02-21,2025,2,Friday,0,876,1797,2673,1,0
2025-02-22,2025,2,Saturday,1,1517,2589,4106,1,0
2025-02-23,2025,2,Sunday,1,1547,2545,4092,1,0
2025-02-24,2025,2,Monday,0,908,1082,1990,1,0
2025-02-25,2025,2,Tuesday,0,992,838,1830,1,0
2025-02-26,2025,2,Wednesday,0,896,1401,2297,1,1
2025-02-27,2025,2,Thursday,0,783,1176,1959,1,0
2025-02-28,2025,2,Friday,0,1558,1345,2903,1,0
2025-03-01,2025,3,Saturday,1,1330,2665,3995,1,0
2025-03-02,2025,3,Sunday,1,967,2627,3594,1,0
2025-03-03,2025,3,Monday,0,1038,1383,2421,1,0
2025-03-04,2025,3,Tuesday,0,764,1170,1934,1,0
2025-03-05,2025,3,Wednesday,0,918,953,1871,1,0
2025-03-06,2025,3,Thursday,0,872,1431,2303,1,0
2025-03-07,2025,3,Friday,0,1052,2010,3062,1,0
2025-03-08,2025,3,Saturday,1,1598,4331,5929,1,0
2025-03-09,2025,3,Sunday,1,1048,3182,4230,1,0
2025-03-10,2025,3,Monday,0,746,1069,1815,1,0
2025-03-11,2025,3,Tuesday,0,692,1096,1788,1,0
2025-03-12,2025,3,Wednesday,0,1023,1324,2347,1,0
2025-03-13,2025,3,Thursday,0,948,1664,2612,1,1
2025-03-14,2025,3,Friday,0,1122,1121,2243,1,0
2025-03-15,2025,3,Saturday,1,1086,2041,3127,1,0
2025-03-16,2025,3,Sunday,1,1371,2164,3535,1,0
2025-03-17,2025,3,Monday,0,949,1036,1985,1,0
2025-03-18,2025,3,Tuesday,0,767,1124,1891,1,0
2025-03-19,2025,3,Wednesday,0,781,1456,2237,1,0
2025-03-20,2025,3,Thursday,0,926,1213,2139,1,0
2025-03-21,2025,3,Friday,0,1131,1491,2622,1,0
2025-03-22,2025,3,Saturday,1,1737,2453,4190,1,0
2025-03-23,2025,3,Sunday,1,1265,2032,3297,1,0
2025-03-24,2025,3,Monday,0,998,577,1575,1,0
2025-03-25,2025,3,Tuesday,0,623,1221,1844,1,0
2025-03-26,2025,3,Wednesday,0,1001,1005,2006,1,0
2025-03-27,2025,3,Thursday,0,819,812,1631,1,0
2025-03-28,2025,3,Friday,0,847,1277,2124,1,0
2025-03-29,2025,3,Saturday,1,1439,2179,3618,1,0
2025-03-30,2025,3,Sunday,1,1610,3262,4872,1,0
2025-03-31,2025,3,Monday,0,832,1797,2629,1,1
2025-04-01,2025,4,Tuesday,0,842,1071,1913,0,0
2025-04-02,2025,4,Wednesday,0,797,614,1411,0,0
2025-04-03,2025,4,Thursday,0,764,588,1352,0,0
2025-04-04,2025,4,Friday,0,649,1188,1837,0,0
2025-04-05,2025,4,Saturday,1,1373,2224,3597,0,0
2025-04-06,2025,4,Sunday,1,1357,1564,2921,0,0
2025-04-07,2025,4,Monday,0,644,845,1489,0,0
2025-04-08,2025,4,Tuesday,0,752,1291,2043,0,0
2025-04-09,2025,4,Wednesday,0,815,772,1587,0,0
2025-04-10,2025,4,Thursday,0,746,890,1636,0,0
2025-04-11,2025,4,Friday,0,989,1944,2933,0,0
2025-04-12,2025,4,Saturday,1,2721,5347,8068,0,1
2025-04-13,2025,4,Sunday,1,2280,8767,11047,0,1
2025-04-14,2025,4,Monday,0,889,3333,4222,0,1
2025-04-15,2025,4,Tuesday,0,1428,3228,4656,0,1
2025-04-16,2025,4,Wednesday,0,994,2075,3069,0,0
2025-04-17,2025,4,Thursday,0,781,1359,2140,0,0
2025-04-18,2025,4,Friday,0,1115,3398,4513,0,1
2025-04-19,2025,4,Saturday,1,1676,3039,4715,0,0
2025-04-20,2025,4,Sunday,1,814,1524,2338,0,0
2025-04-21,2025,4,Monday,0,809,859,1668,0,0
2025-04-22,2025,4,Tuesday,0,1010,867,1877,0,0
2025-04-23,2025,4,Wednesday,0,773,820,1593,0,0
2025-04-24,2025,4,Thursday,0,819,823,1642,0,0
2025-04-25,2025,4,Friday,0,877,1857,2734,0,0
2025-04-26,2025,4,Saturday,1,1325,2396,3721,0,0
2025-04-27,2025,4,Sunday,1,974,1773,2747,0,0
2025-04-28,2025,4,Monday,0,751,942,1693,0,0
2025-04-29,2025,4,Tuesday,0,703,1312,2015,0,0
2025-04-30,2025,4,Wednesday,0,663,1265,1928,0,0
2025-05-01,2025,5,Thursday,0,768,1454,2222,0,1
2025-05-02,2025,5,Friday,0,984,1678,2662,0,0
2025-05-03,2025,5,Saturday,1,1185,2086,3271,0,0
2025-05-04,2025,5,Sunday,1,1493,2937,4430,0,0
2025-05-05,2025,5,Monday,0,709,718,1427,0,0
2025-05-06,2025,5,Tuesday,0,794,1014,1808,0,0
2025-05-07,2025,5,Wednesday,0,634,803,1437,0,0
2025-05-08,2025,5,Thursday,0,767,829,1596,0,0
2025-05-09,2025,5,Friday,0,946,1206,2152,0,0
2025-05-10,2025,5,Saturday,1,1026,1847,2873,0,0
2025-05-11,2025,5,Sunday,1,1550,5492,7042,0,0
2025-05-12,2025,5,Monday,0,1224,2822,4046,0,1
2025-05-13,2025,5,Tuesday,0,1451,2999,4450,0,1
2025-05-14,2025,5,Wednesday,0,913,1500,2413,0,0
2025-05-15,2025,5,Thursday,0,730,916,1646,0,0
2025-05-16,2025,5,Friday,0,1084,1708,2792,0,0
2025-05-17,2025,5,Saturday,1,1949,2250,4199,0,0
2025-05-18,2025,5,Sunday,1,1154,2342,3496,0,0
2025-05-19,2025,5,Monday,0,842,747,1589,0,0
2025-05-20,2025,5,Tuesday,0,804,1039,1843,0,0
2025-05-21,2025,5,Wednesday,0,819,1118,1937,0,0
2025-05-22,2025,5,Thursday,0,853,1205,2058,0,0
2025-05-23,2025,5,Friday,0,887,1210,2097,0,0
2025-05-24,2025,5,Saturday,1,1236,2020,3256,0,0
2025-05-25,2025,5,Sunday,1,1028,1551,2579,0,0
2025-05-26,2025,5,Monday,0,841,942,1783,0,0
2025-05-27,2025,5,Tuesday,0,799,953,1752,0,0
2025-05-28,2025,5,Wednesday,0,815,1182,1997,0,0
2025-05-29,2025,5,Thursday,0,770,1021,1791,0,0
2025-05-30,2025,5,Friday,0,891,1548,2439,0,0
2025-05-31,2025,5,Saturday,1,1093,1801,2894,0,0
2025-06-01,2025,6,Sunday,1,785,2553,3338,0,0
2025-06-02,2025,6,Monday,0,665,881,1546,0,0
2025-06-03,2025,6,Tuesday,0,646,1189,1835,0,0
2025-06-04,2025,6,Wednesday,0,1016,1616,2632,0,0
2025-06-05,2025,6,Thursday,0,732,1154,1886,0,0
2025-06-06,2025,6,Friday,0,943,2219,3162,0,0
2025-06-07,2025,6,Saturday,1,1583,3253,4836,0,1
2025-06-08,2025,6,Sunday,1,1075,1963,3038,0,0
2025-06-09,2025,6,Monday,0,1127,2500,3627,0,0
2025-06-10,2025,6,Tuesday,0,1306,4125,5431,0,1
2025-06-11,2025,6,Wednesday,0,1027,1330,2357,0,0
2025-06-12,2025,6,Thursday,0,783,1282,2065,0,0
2025-06-13,2025,6,Friday,0,1037,1437,2474,0,0
2025-06-14,2025,6,Saturday,1,962,2541,3503,0,0
2025-06-15,2025,6,Sunday,1,1171,1513,2684,0,0
2025-06-16,2025,6,Monday,0,654,1448,2102,0,0
2025-06-17,2025,6,Tuesday,0,720,635,1355,0,0
2025-06-18,2025,6,Wednesday,0,591,1077,1668,0,0
2025-06-19,2025,6,Thursday,0,624,961,1585,0,0
2025-06-20,2025,6,Friday,0,727,1767,2494,0,0
2025-06-21,2025,6,Saturday,1,1608,2308,3916,0,0
2025-06-22,2025,6,Sunday,1,964,2309,3273,0,0
2025-06-23,2025,6,Monday,0,851,825,1676,0,0
2025-06-24,2025,6,Tuesday,0,778,1209,1987,0,0
2025-06-25,2025,6,Wednesday,0,643,925,1568,0,0
2025-06-26,2025,6,Thursday,0,990,1245,2235,0,0
2025-06-27,2025,6,Friday,0,685,1089,1774,0,0
2025-06-28,2025,6,Saturday,1,927,2717,3644,0,0
2025-06-29,2025,6,Sunday,1,1146,2161,3307,0,0
2025-06-30,2025,6,Monday,0,728,689,1417,0,0
2025-07-01,2025,7,Tuesday,0,966,1448,2414,1,0
