Date,Attraction,Avg_Temperature,Rainfall_mm,Public_Holiday_Count,Festival_Season,Foreign_Visitors_%,Visitor_Count
2023-01-01,Sigiriya Rock Fortress,26.5,7.4,1,New Year,68,5185
2023-01-02,Sigiriya Rock Fortress,25.7,1.1,0,Peak Season,67,3897
2023-01-03,Sigiriya Rock Fortress,26.8,8.6,0,Peak Season,70,3338
2023-01-04,Sigiriya Rock Fortress,26.9,11.8,0,Peak Season,68,3507
2023-01-05,Sigiriya Rock Fortress,25.2,14.1,0,Peak Season,67,3472
2023-01-06,Sigiriya Rock Fortress,25.6,34.7,0,Peak Season,63,3314
2023-01-07,Sigiriya Rock Fortress,26.5,18.9,0,Peak Season,77,4071
2023-01-08,Sigiriya Rock Fortress,26.2,34.7,0,Peak Season,61,3315
2023-01-09,Sigiriya Rock Fortress,26.4,20.8,0,Peak Season,70,3581
2023-01-10,Sigiriya Rock Fortress,25.9,19.0,0,Peak Season,65,3606
2023-01-11,Sigiriya Rock Fortress,27.0,22.2,0,Peak Season,78,3574
2023-01-12,Sigiriya Rock Fortress,26.9,4.1,0,Peak Season,62,3607
2023-01-13,Sigiriya Rock Fortress,26.5,24.7,0,Peak Season,63,3171
2023-01-14,Sigiriya Rock Fortress,27.2,8.2,0,Peak Season,61,3826
2023-01-15,Sigiriya Rock Fortress,26.8,8.5,0,Peak Season,69,4364
2023-01-16,Sigiriya Rock Fortress,26.0,12.0,0,Peak Season,59,3423
2023-01-17,Sigiriya Rock Fortress,26.8,7.2,0,Peak Season,64,3621
2023-01-18,Sigiriya Rock Fortress,26.0,2.9,0,Peak Season,54,3688
2023-01-19,Sigiriya Rock Fortress,27.1,10.8,0,Peak Season,68,3321
2023-01-20,Sigiriya Rock Fortress,26.6,8.2,1,Peak Season,64,4023
2023-01-21,Sigiriya Rock Fortress,26.5,7.8,0,Peak Season,58,3973
2023-01-22,Sigiriya Rock Fortress,26.2,9.5,0,Peak Season,74,4071
2023-01-23,Sigiriya Rock Fortress,27.4,7.8,0,Peak Season,59,3610
2023-01-24,Sigiriya Rock Fortress,26.6,34.6,1,Peak Season,72,3931
2023-01-25,Sigiriya Rock Fortress,26.5,32.0,0,Peak Season,63,2969
2023-01-26,Sigiriya Rock Fortress,26.5,10.6,0,Peak Season,77,3711
2023-01-27,Sigiriya Rock Fortress,27.1,89.6,0,Peak Season,71,2699
2023-01-28,Sigiriya Rock Fortress,27.0,0.0,0,Peak Season,61,4309
2023-01-29,Sigiriya Rock Fortress,27.1,5.2,0,Peak Season,61,4131
2023-01-30,Sigiriya Rock Fortress,27.1,19.0,0,Peak Season,71,3610
2023-01-31,Sigiriya Rock Fortress,28.1,6.2,0,Peak Season,65,3660
2023-02-01,Sigiriya Rock Fortress,26.6,24.5,0,Peak Season,66,3294
2023-02-02,Sigiriya Rock Fortress,26.6,23.0,0,Peak Season,75,3357
2023-02-03,Sigiriya Rock Fortress,26.4,4.8,0,Peak Season,63,3574
2023-02-04,Sigiriya Rock Fortress,27.3,10.4,1,Peak Season,68,4691
2023-02-05,Sigiriya Rock Fortress,27.7,32.5,0,Peak Season,73,4325
2023-02-06,Sigiriya Rock Fortress,26.9,1.1,0,Peak Season,72,4030
2023-02-07,Sigiriya Rock Fortress,26.5,5.9,0,Peak Season,66,3694
2023-02-08,Sigiriya Rock Fortress,26.6,0.9,0,Peak Season,65,3683
2023-02-09,Sigiriya Rock Fortress,27.5,2.9,0,Peak Season,57,3444
2023-02-10,Sigiriya Rock Fortress,27.6,146.5,0,Peak Season,61,1539
2023-02-11,Sigiriya Rock Fortress,27.5,5.5,0,Peak Season,69,4151
2023-02-12,Sigiriya Rock Fortress,26.8,0.3,0,Peak Season,66,4205
2023-02-13,Sigiriya Rock Fortress,27.4,2.2,0,Peak Season,67,3699
2023-02-14,Sigiriya Rock Fortress,27.3,0.6,0,Peak Season,73,3876
2023-02-15,Sigiriya Rock Fortress,27.4,9.3,0,Peak Season,60,3640
2023-02-16,Sigiriya Rock Fortress,27.8,113.5,0,Peak Season,66,2157
2023-02-17,Sigiriya Rock Fortress,27.5,17.1,0,Peak Season,68,3341
2023-02-18,Sigiriya Rock Fortress,27.8,13.9,1,Peak Season,63,4969
2023-02-19,Sigiriya Rock Fortress,27.5,1.0,0,Peak Season,76,4548
2023-02-20,Sigiriya Rock Fortress,27.6,52.0,0,Peak Season,72,3062
2023-02-21,Sigiriya Rock Fortress,27.9,6.1,0,Peak Season,69,3632
2023-02-22,Sigiriya Rock Fortress,26.6,17.6,0,Peak Season,78,3611
2023-02-23,Sigiriya Rock Fortress,27.4,14.0,0,Peak Season,58,3352
2023-02-24,Sigiriya Rock Fortress,27.3,33.1,0,Peak Season,67,3378
2023-02-25,Sigiriya Rock Fortress,27.2,2.0,1,Peak Season,69,5438
2023-02-26,Sigiriya Rock Fortress,27.5,1.5,0,Peak Season,62,4162
2023-02-27,Sigiriya Rock Fortress,28.6,3.6,0,Peak Season,69,3856
2023-02-28,Sigiriya Rock Fortress,27.2,5.5,0,Peak Season,60,3105
2023-03-01,Sigiriya Rock Fortress,28.3,2.6,0,None,49,2345
2023-03-02,Sigiriya Rock Fortress,26.8,1.9,0,None,51,2714
2023-03-03,Sigiriya Rock Fortress,27.6,7.8,0,None,47,2417
2023-03-04,Sigiriya Rock Fortress,28.0,3.1,1,None,34,2399
2023-03-05,Sigiriya Rock Fortress,28.3,2.2,0,None,39,2974
2023-03-06,Sigiriya Rock Fortress,28.4,0.7,0,None,48,2882
2023-03-07,Sigiriya Rock Fortress,28.5,0.0,0,None,45,1978
2023-03-08,Sigiriya Rock Fortress,27.8,16.0,0,None,29,2247
2023-03-09,Sigiriya Rock Fortress,27.8,15.2,0,None,52,1727
2023-03-10,Sigiriya Rock Fortress,28.6,9.9,0,None,46,2527
2023-03-11,Sigiriya Rock Fortress,28.0,7.6,0,None,40,2767
2023-03-12,Sigiriya Rock Fortress,27.4,2.2,0,None,51,2494
2023-03-13,Sigiriya Rock Fortress,27.5,7.4,0,None,41,2320
2023-03-14,Sigiriya Rock Fortress,27.7,0.9,0,None,41,2560
2023-03-15,Sigiriya Rock Fortress,28.6,4.3,0,None,47,2485
2023-03-16,Sigiriya Rock Fortress,28.4,1.4,1,None,56,3374
2023-03-17,Sigiriya Rock Fortress,28.8,6.4,0,None,55,2441
2023-03-18,Sigiriya Rock Fortress,28.1,13.3,0,None,47,2420
2023-03-19,Sigiriya Rock Fortress,28.5,0.9,0,None,48,3163
2023-03-20,Sigiriya Rock Fortress,28.8,1.8,0,None,50,2881
2023-03-21,Sigiriya Rock Fortress,28.3,80.1,0,None,37,1554
2023-03-22,Sigiriya Rock Fortress,28.8,0.2,0,None,49,2060
2023-03-23,Sigiriya Rock Fortress,28.2,0.3,0,None,41,1998
2023-03-24,Sigiriya Rock Fortress,28.4,12.7,0,None,47,2111
2023-03-25,Sigiriya Rock Fortress,28.4,4.7,0,None,44,2539
2023-03-26,Sigiriya Rock Fortress,28.0,1.6,0,None,48,2995
2023-03-27,Sigiriya Rock Fortress,29.0,3.3,0,None,46,2500
2023-03-28,Sigiriya Rock Fortress,28.5,2.0,0,None,27,1755
2023-03-29,Sigiriya Rock Fortress,28.8,3.8,0,None,46,2571
2023-03-30,Sigiriya Rock Fortress,29.1,2.1,0,None,49,2618
2023-03-31,Sigiriya Rock Fortress,29.1,3.1,0,None,48,2335
2023-04-01,Sigiriya Rock Fortress,29.3,96.0,0,None,50,1896
2023-04-02,Sigiriya Rock Fortress,28.9,6.2,0,None,61,2766
2023-04-03,Sigiriya Rock Fortress,28.7,12.1,0,None,53,2350
2023-04-04,Sigiriya Rock Fortress,29.0,5.0,0,None,54,2539
2023-04-05,Sigiriya Rock Fortress,28.0,3.6,0,None,57,2610
2023-04-06,Sigiriya Rock Fortress,28.2,13.7,0,None,53,2470
2023-04-07,Sigiriya Rock Fortress,28.3,2.7,0,None,46,2450
2023-04-08,Sigiriya Rock Fortress,28.6,0.0,0,None,36,2751
2023-04-09,Sigiriya Rock Fortress,29.4,7.4,0,None,48,3027
2023-04-10,Sigiriya Rock Fortress,28.7,4.5,0,None,56,2789
2023-04-11,Sigiriya Rock Fortress,29.1,3.4,0,None,49,2449
2023-04-12,Sigiriya Rock Fortress,30.1,7.5,0,None,56,2651
2023-04-13,Sigiriya Rock Fortress,29.1,2.1,1,Sinhala Tamil New Year,52,4648
2023-04-14,Sigiriya Rock Fortress,29.8,0.0,1,Sinhala Tamil New Year,59,4723
2023-04-15,Sigiriya Rock Fortress,28.9,7.7,0,None,49,3076
2023-04-16,Sigiriya Rock Fortress,29.3,1.5,0,None,54,3017
2023-04-17,Sigiriya Rock Fortress,28.9,1.0,0,None,54,2666
2023-04-18,Sigiriya Rock Fortress,29.3,7.1,0,None,60,2637
2023-04-19,Sigiriya Rock Fortress,30.1,10.4,0,None,41,2210
2023-04-20,Sigiriya Rock Fortress,28.5,2.3,1,None,48,3022
2023-04-21,Sigiriya Rock Fortress,29.9,7.6,0,None,56,2462
2023-04-22,Sigiriya Rock Fortress,29.8,5.5,0,None,60,2855
2023-04-23,Sigiriya Rock Fortress,29.3,17.0,0,None,52,3002
2023-04-24,Sigiriya Rock Fortress,28.8,5.6,0,None,49,2484
2023-04-25,Sigiriya Rock Fortress,29.8,11.4,0,None,56,2711
2023-04-26,Sigiriya Rock Fortress,29.5,2.0,0,None,56,2510
2023-04-27,Sigiriya Rock Fortress,29.9,0.3,0,None,49,2952
2023-04-28,Sigiriya Rock Fortress,29.9,10.2,0,None,53,2405
2023-04-29,Sigiriya Rock Fortress,30.8,0.3,0,None,58,3086
2023-04-30,Sigiriya Rock Fortress,29.8,85.7,0,None,62,2072
2023-05-01,Sigiriya Rock Fortress,29.3,1.0,1,None,55,2882
2023-05-02,Sigiriya Rock Fortress,30.1,6.0,0,None,51,2847
2023-05-03,Sigiriya Rock Fortress,30.1,21.4,0,None,51,2626
2023-05-04,Sigiriya Rock Fortress,30.8,8.9,0,None,54,2685
2023-05-05,Sigiriya Rock Fortress,30.5,3.8,0,None,50,2335
2023-05-06,Sigiriya Rock Fortress,30.3,7.5,0,None,52,3465
2023-05-07,Sigiriya Rock Fortress,31.0,2.7,0,None,45,2945
2023-05-08,Sigiriya Rock Fortress,29.4,30.8,0,None,59,2272
2023-05-09,Sigiriya Rock Fortress,29.8,2.1,0,None,44,2736
2023-05-10,Sigiriya Rock Fortress,29.6,4.6,0,None,48,2600
2023-05-11,Sigiriya Rock Fortress,30.0,9.2,0,None,52,2970
2023-05-12,Sigiriya Rock Fortress,29.4,7.7,0,None,63,2735
2023-05-13,Sigiriya Rock Fortress,30.6,8.7,0,None,48,2903
2023-05-14,Sigiriya Rock Fortress,30.1,3.0,0,None,47,2889
2023-05-15,Sigiriya Rock Fortress,29.4,4.2,0,None,48,2046
2023-05-16,Sigiriya Rock Fortress,29.7,13.4,0,None,61,2525
2023-05-17,Sigiriya Rock Fortress,30.5,13.0,0,None,34,2385
2023-05-18,Sigiriya Rock Fortress,30.9,8.6,0,None,45,2530
2023-05-19,Sigiriya Rock Fortress,31.6,19.1,0,None,67,2697
2023-05-20,Sigiriya Rock Fortress,32.1,14.6,0,None,55,2879
2023-05-21,Sigiriya Rock Fortress,30.7,13.3,0,None,44,2917
2023-05-22,Sigiriya Rock Fortress,29.8,0.5,0,None,51,2788
2023-05-23,Sigiriya Rock Fortress,29.2,9.0,0,None,51,2537
2023-05-24,Sigiriya Rock Fortress,30.6,7.6,0,None,56,2634
2023-05-25,Sigiriya Rock Fortress,30.0,22.9,0,None,62,2326
2023-05-26,Sigiriya Rock Fortress,30.2,4.5,0,None,53,2758
2023-05-27,Sigiriya Rock Fortress,30.1,0.3,1,None,48,3035
2023-05-28,Sigiriya Rock Fortress,30.4,20.1,0,None,56,3075
2023-05-29,Sigiriya Rock Fortress,31.2,9.4,0,None,47,3001
2023-05-30,Sigiriya Rock Fortress,30.6,3.0,0,None,45,2123
2023-05-31,Sigiriya Rock Fortress,30.5,3.6,0,None,40,2301
2023-06-01,Sigiriya Rock Fortress,30.0,12.4,0,None,36,2157
2023-06-02,Sigiriya Rock Fortress,29.6,12.2,0,None,40,2118
2023-06-03,Sigiriya Rock Fortress,30.3,20.3,0,None,38,2889
2023-06-04,Sigiriya Rock Fortress,30.6,5.7,1,None,47,3763
2023-06-05,Sigiriya Rock Fortress,31.7,3.6,1,None,38,3044
2023-06-06,Sigiriya Rock Fortress,30.7,9.4,0,None,26,2215
2023-06-07,Sigiriya Rock Fortress,31.2,7.2,0,None,39,2321
